ID Prop._SNPs Prop._h2 Prop._h2_std_error Enrichment Enrichment_std_error Enrichment_p Coefficient Coefficient_std_error Coefficient_z-score
1 0.0477338383358 0.571298691328 0.0845654793899 11.9684213808 1.7716044286 1.6335177504212724e-08 2.46151187954e-07 7.08402319785e-08 3.47473718082
2 0.0485333472904 0.689834281704 0.0866017145866 14.2136143542 1.78437547422 6.6937407648665118e-12 3.46142911506e-07 6.76402879628e-08 5.11740741991
7 0.0513232410006 0.529338781431 0.0721287172592 10.313822181 1.40538118507 7.370820015734758e-11 1.47387395442e-07 4.73510363893e-08 3.11265405536
8 0.0482486711057 0.0697122419074 0.0743236037687 1.44485309771 1.54042799657 0.77159915188378969 -1.86168564036e-07 5.41137159888e-08 -3.44032119461
9 0.0516939742758 0.279320288841 0.0679000126935 5.40334328621 1.3134995644 0.00085532656570001049 -1.75978975188e-08 4.45783109524e-08 -0.394763667418
10 0.0479871447817 0.726502734864 0.0668487234142 15.1395282668 1.39305482162 6.964167398473676e-20 4.10263197137e-07 5.07881409235e-08 8.077932952
11 0.0479492326912 0.0959694426161 0.0715175349875 2.00148025797 1.4915261616 0.50031541280580816 -2.84315974831e-07 6.21344841378e-08 -4.57581613135
12 0.0486068229349 0.11556929744 0.076915678798 2.37763528785 1.58240498255 0.38183417668568631 -2.04437869902e-07 5.78216347282e-08 -3.53566395802
13 0.0476516395553 0.590997161898 0.0909567849795 12.4024517816 1.90878605287 1.8611947127387189e-07 2.58974680247e-07 7.73908269373e-08 3.34632269089
14 0.0452719009844 0.145013537997 0.080620435235 3.20316873919 1.78080516793 0.2169224977037767 -1.219726226e-07 6.58747599255e-08 -1.85158356156
15 0.0489609487014 0.145058736179 0.0564841790145 2.96274357475 1.15365777242 0.087988869583403018 -5.20904688511e-08 3.59044946955e-08 -1.4508063487
16 0.048493589921 0.215004851487 0.068877116615 4.43367570512 1.42033445507 0.014828955724980317 -4.55619998471e-08 4.50955284286e-08 -1.01034407257
17 0.048305371489 0.255391392743 0.0766859626171 5.28701850066 1.58752453926 0.0062010182224101779 -6.41534901963e-08 5.61623757456e-08 -1.14228590484
18 0.0484939254262 0.231221418552 0.0584930133619 4.76804912202 1.20619258696 0.0018060189909689392 -4.38937006641e-08 3.81119780573e-08 -1.15170355624
19 0.0483052037364 0.102750869536 0.0643087945809 2.12711802432 1.33130159086 0.40222638376058484 -1.02872366432e-07 4.42709594804e-08 -2.323698597
20 0.0483295278653 0.185654589453 0.057286425147 3.84143188757 1.18532970789 0.017190825090775186 -1.40117193371e-07 4.79988952948e-08 -2.91917537914
21 0.0490208363843 -0.0300573919053 0.0801203705366 -0.613155427819 1.63441459685 0.32598751542465298 -2.01234421909e-07 5.84807807631e-08 -3.44103514493
22 0.0482233404611 0.234734322769 0.0658119693729 4.86764957641 1.36473269466 0.0053565941321623237 -7.12850531054e-08 5.02303724739e-08 -1.41916234331
23 0.0476281541895 0.513044942517 0.074300657435 10.7718837996 1.56001547193 2.2676734211069059e-08 1.80169142218e-07 6.18335366587e-08 2.91377708527
24 0.047757155949 0.485349976998 0.0774762693605 10.1628743872 1.62229655056 1.7177997709963765e-08 1.45902263595e-07 6.53863814954e-08 2.23138611218
25 0.0479713760361 0.503220500963 0.0671756530339 10.490015975 1.40032783265 1.2513885065981743e-11 1.37151876878e-07 4.30332283821e-08 3.18711567861
26 0.0482704789455 0.520618534486 0.0779870768126 10.78544373 1.61562674571 1.2357518636924162e-09 1.47069046956e-07 5.62902380043e-08 2.61269186577
27 0.0480277409141 0.637465982637 0.087606911577 13.2728704391 1.82408978456 5.6970123960394815e-10 2.87423305924e-07 7.21522794547e-08 3.98356514993
28 0.0479611431267 0.289923332074 0.0845700871181 6.04496292568 1.76330424182 0.0055129300082788863 -3.93765039104e-08 7.03885690319e-08 -0.559416172995
29 0.0483407672904 0.292777268266 0.0626330168962 6.05652919216 1.29565624228 0.00012624623046996833 -1.44776121703e-08 4.21992841693e-08 -0.343077197997
30 0.0510967749728 0.17230378083 0.0694774718046 3.37210677038 1.35972322796 0.083610332845417579 -1.89002077653e-07 5.32584928389e-08 -3.5487687987
32 0.0485596844506 0.392424721159 0.08172916133 8.08128647455 1.68306615363 2.6058929257061406e-05 2.96865908723e-08 6.10960079931e-08 0.48590066434
33 0.0482951385796 0.307154582714 0.0812805366763 6.35994826287 1.68299624076 0.0015989032821644019 -6.31989472495e-08 7.15373764332e-08 -0.88343954448
34 0.0481089331789 0.388735439219 0.0721777132339 8.0803171788 1.50029752199 3.2214540738999854e-06 3.07109911673e-08 5.93583356708e-08 0.51738295591
35 0.0481178240674 0.380148265883 0.0668046177941 7.90036277099 1.38835492022 1.2540682644466045e-06 3.23544310922e-08 5.3442097653e-08 0.605410949664
36 0.0496480634051 0.0548604522472 0.098691839574 1.10498675043 1.98782858394 0.95776708709386771 -1.96044063881e-07 6.96901610391e-08 -2.81308094225
37 0.048302351942 0.20231609008 0.0869561372182 4.18853496664 1.80024644189 0.086502775194934947 -2.24867429747e-08 6.66584457268e-08 -0.337342743737
38 0.0454586096429 0.409213080129 0.0872377845099 9.0018828852 1.91905967198 2.2518192788654575e-05 1.17891574981e-07 6.57342511758e-08 1.79345733574
39 0.0481637882835 0.467841835303 0.0707223645626 9.71355975052 1.46837213357 6.7946390701514711e-09 9.33167877914e-08 4.98381468134e-08 1.87239682368
40 0.0484685947817 0.212346475989 0.0450440415342 4.38111475989 0.929344903378 0.00030455499307468923 -7.86610816661e-08 2.70985976935e-08 -2.90277314553
